GVKEY,LIID,datadate,fyear,conm,adrr,fic
015299,01,19910930,1991,DECISIONLINK INC,,USA
015302,01,19901231,1990,AMERICAN FREIGHTWAYS CORP,,USA
015302,01,19911231,1991,AMERICAN FREIGHTWAYS CORP,,USA
015303,01,19901231,1990,FOLIAGE PLUS INC,,USA
015306,01,19901231,1990,MALLON RESOURCES CORP,,USA
015306,01,19911231,1991,MALLON RESOURCES CORP,,USA
015308,01,19900831,1990,AUTHORIZED DISTRIBUTN NETWRK,,USA
015311,01,19901231,1990,POLORON PRODUCTS INC,,USA
015312,01,19901231,1990,SCOTSMAN INDUSTRIES INC,,USA
015312,01,19911231,1991,SCOTSMAN INDUSTRIES INC,,USA
015313,01,19901231,1990,SCHWITZER INC,,USA
015313,01,19911231,1991,SCHWITZER INC,,USA
015315,01,19901231,1990,ALARIS MEDICAL SYSTEMS INC,,USA
015315,01,19911231,1991,ALARIS MEDICAL SYSTEMS INC,,USA
015316,01,19901231,1990,CHIEFTAIN INTL INC,,CAN
015316,01,19911231,1991,CHIEFTAIN INTL INC,,CAN
015317,01,19901231,1990,MFN FINANCIAL CORP,,USA
015317,01,19911231,1991,MFN FINANCIAL CORP,,USA
015318,01,19900630,1990,NORTHBAY FINANCIAL CORP,,USA
015318,01,19910630,1991,NORTHBAY FINANCIAL CORP,,USA
015320,01,19901231,1990,LEGEND PROPERTIES INC,,USA
015320,01,19911231,1991,LEGEND PROPERTIES INC,,USA
015324,01,19911231,1991,JOURNEYS END RESORTS INC,,USA
015325,01,19900131,1989,GOAL SYSTEMS INTL INC,,USA
015325,01,19910131,1990,GOAL SYSTEMS INTL INC,,USA
015327,01,19900331,1989,BONSO ELECTRONICS INTL INC,,VGB
015327,01,19910331,1990,BONSO ELECTRONICS INTL INC,,VGB
015328,01,19900630,1990,TSI CORP,,USA
015328,01,19910630,1991,TSI CORP,,USA
015329,01,19900531,1989,CONQUEST INDUSTRIES INC,,USA
015329,01,19910531,1990,CONQUEST INDUSTRIES INC,,USA
015331,01,19901231,1990,BTU INTERNATIONAL INC,,USA
015331,01,19911231,1991,BTU INTERNATIONAL INC,,USA
015333,01,19900531,1989,EUROAMERICAN GROUP INC,,USA
015333,01,19910531,1990,EUROAMERICAN GROUP INC,,USA
015335,01,19901231,1990,LEGENDS CO OF CHICAGO  -CL A,,USA
015343,01,19911231,1991,MUELLER INDUSTRIES,,USA
015347,01,19901231,1990,PRESSTEK INC,,USA
015347,01,19911231,1991,PRESSTEK INC,,USA
015348,01,19901231,1990,CAPITAL HSG&MTG PRTNRS INC,,USA
015348,01,19911231,1991,CAPITAL HSG&MTG PRTNRS INC,,USA
015349,01,19911231,1991,ADT LTD,1.0000,BMU
015350,01,19901231,1990,BP PRUDHOE BAY ROYALTY TRUST,,USA
015350,01,19911231,1991,BP PRUDHOE BAY ROYALTY TRUST,,USA
015353,01,19901231,1990,BYTEX CORP,,USA
015353,01,19911231,1991,BYTEX CORP,,USA
015354,01,19900228,1989,ENTERASYS NETWORKS INC,,USA
015354,01,19910228,1990,ENTERASYS NETWORKS INC,,USA
015355,01,19901231,1990,NORTANKERS INC,,USA
015358,01,19901231,1990,LEAK-X ENVIRONMENTAL,,USA
015358,01,19911231,1991,LEAK-X ENVIRONMENTAL,,USA
015359,01,19901231,1990,ABATIX CORP,,USA
015359,01,19911231,1991,ABATIX CORP,,USA
015360,01,19900131,1989,HOUSE2HOME INC,,USA
015360,01,19910131,1990,HOUSE2HOME INC,,USA
015361,01,19901231,1990,PACIFIC WESTERN BANCSHARES,,USA
015361,01,19911231,1991,PACIFIC WESTERN BANCSHARES,,USA
015363,01,19901231,1990,TCF FINANCIAL CORP,,USA
015363,01,19911231,1991,TCF FINANCIAL CORP,,USA
015364,01,19901231,1990,ARGO GROUP INTL HOLDINGS LTD,,BMU
015364,01,19911231,1991,ARGO GROUP INTL HOLDINGS LTD,,BMU
015365,01,19900731,1990,ACM GVT OPPORTUNITY FD,,USA
015365,01,19910731,1991,ACM GVT OPPORTUNITY FD,,USA
015366,01,19900831,1990,ACM MANAGED INCOME FUND,,USA
015366,01,19910831,1991,ACM MANAGED INCOME FUND,,USA
