GVKEY,LIID,datadate,fyear,conm,adrr,fic
016419,01,19901231,1990,BRITE VOICE SYSTEMS INC,,USA
016419,01,19911231,1991,BRITE VOICE SYSTEMS INC,,USA
016420,01,19901231,1990,CENTRAL NEWSPAPERS  -CL A,,USA
016420,01,19911231,1991,CENTRAL NEWSPAPERS  -CL A,,USA
016427,01,19901031,1990,DREAMCAR HOLDINGS INC,,USA
016437,01,19900930,1990,BEI MEDICAL SYSTEMS CO INC,,USA
016437,01,19910930,1991,BEI MEDICAL SYSTEMS CO INC,,USA
016438,01,19900531,1989,CREATIVE GAMING INC,,USA
016438,01,19910531,1990,CREATIVE GAMING INC,,USA
016439,01,19900228,1989,GZA GEOENVIRONMENTAL TECH IN,,USA
016439,01,19910228,1990,GZA GEOENVIRONMENTAL TECH IN,,USA
016440,01,19900630,1990,CCAIR INC,,USA
016440,01,19910630,1991,CCAIR INC,,USA
016452,01,19900630,1990,NEW IMAGE INDUSTRIES,,USA
016452,01,19910630,1991,NEW IMAGE INDUSTRIES,,USA
016453,01,19900531,1989,NEOGEN CORP,,USA
016453,01,19910531,1990,NEOGEN CORP,,USA
016454,01,19900131,1989,LECHTERS INC,,USA
016454,01,19910131,1990,LECHTERS INC,,USA
016457,01,19901231,1990,HOMESTEAD MINERALS CORP,,USA
016457,01,19911231,1991,HOMESTEAD MINERALS CORP,,USA
016458,01,19900630,1990,SPINNAKER SOFTWARE CORP,,USA
016458,01,19910630,1991,SPINNAKER SOFTWARE CORP,,USA
016460,01,19900930,1990,IMAGE BANK INC,,USA
016462,01,19900630,1990,INSIGHT ENTERTAINMENT CORP,,USA
016462,01,19910630,1991,INSIGHT ENTERTAINMENT CORP,,USA
016467,01,19900430,1989,BIZMART INC,,USA
016469,01,19900630,1990,MEDICAL MANAGER CORP,,USA
