q_Imp_sw,q_Imp_aw,qAdj_Imp_sw,qAdj_Imp_aw,xv_sw,xv_aw,xvAdj_sw,xvAdj_aw,gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt,datadate,fyear,tic,conm,adrr,pddur,upd,at,capx,ceq,csho,gdwl,oiadp,sale,cik,fic,sich,prcc_f,datadate_int,dyear,dmonth,dday,saleSUM,iaSUM,nseg,MS,SIC_4dig,SIC_3dig,SIC_2dig,SIC_1dig,gdwl_orig,capx_orig,at_MV,atAdj,atAdj_MV,q_Obs,qAdj_Obs,log_at,log_atAdj,ebit2sale,capx2sale,dyear_fac
NA,NA,NA,NA,NA,NA,NA,NA,1562,P,1,LU,13777,5828,19830228,E,2018-04-30,2017,AMSWA,AMERICAN SOFTWARE  -CL A,NA,12,3,162.965,1.428,112.584,30.61,25.888,13.68,112.703,713425,USA,7372,12.76,20180430,2018,4,30,112.703,162.965,3,1,7372,737,73,7,25.888,1.428,440.9646,137.077,415.0766,2.7058853127972267,3.0280543052444977,5.0935354538238995,4.920542811736288,0.12138097477440707,0.012670470173819684,2018
NA,NA,NA,NA,NA,NA,NA,NA,1585,P,1,LU,11144,9002,19870302,E,2017-12-31,2017,AVD,AMERICAN VANGUARD CORP,NA,12,3,535.592,6.666,305.06,29.791,22.184,26.794,355.047,5981,USA,2870,19.65,20171231,2017,12,31,355.047,535.592,1,0,2870,287,28,2,22.184,6.666,815.92515,513.408,793.7411500000001,1.5234080232714455,1.546024117271254,6.2833726771856755,6.241070850707533,0.07546606505617566,0.018774979087275767,2017
NA,NA,NA,NA,NA,NA,NA,NA,1585,P,1,LU,11144,9002,19870302,E,2018-12-31,2018,AVD,AMERICAN VANGUARD CORP,NA,12,3,593.587,8.05,329.23,29.85,25.79,32.971,454.272,5981,USA,2870,15.19,20181231,2018,12,31,454.272,593.587,1,0,2870,287,28,2,25.79,8.05,717.7784999999999,567.797,691.9884999999999,1.209222068542606,1.2187251781886834,6.386183791343814,6.341763960474367,0.0725798640462102,0.017720660749506904,2018
3.322813922136449,3.322813922136449,3.6158244955368897,3.6158244955368897,-0.3876214743449011,-0.3876214743449011,-0.3534435643386368,-0.3534435643386368,1602,P,1,LU,14008,216,19830617,E,2017-12-31,2017,AMGN,AMGEN INC,NA,12,3,79954,664,25241,722.2,14761,10497,22849,318154,USA,2836,173.9,20171231,2017,12,31,22849,79954,1,0,2836,283,28,2,14761,664,180303.58000000002,65193,165542.58000000002,2.2550914275708536,2.5392692466982654,11.289206748280122,11.085107380187846,0.4594074138911987,0.029060352750667425,2017
3.1282567554502827,3.1282567554502827,3.373581474986373,3.373581474986373,-0.16320502346870766,-0.16320502346870766,-0.07551647700452187,-0.07551647700452187,1602,P,1,LU,14008,216,19830617,E,2018-12-31,2018,AMGN,AMGEN INC,NA,12,3,66416,738,12500,629.6,14699,10563,23747,318154,USA,2836,194.67,20181231,2018,12,31,23747,66416,1,0,2836,283,28,2,14699,738,176480.23200000002,51717,161781.23200000002,2.6571945314382077,3.128202177233792,11.10369327029282,10.853541826563088,0.444814081778751,0.03107760980334358,2018
2.3889396665792444,2.3889396665792444,2.6494141590827818,2.6494141590827818,-0.12353214790105735,-0.12353214790105735,0.31567266780543246,0.31567266780543246,1632,P,1,LC,60871,282,19721214,E,2017-10-31,2017,ADI,ANALOG DEVICES,NA,12,3,21141.294,204.098,10161.54,368.636,12217.455,1534.052,5107.503,6281,USA,3674,91.3,20171031,2017,10,31,5107.503,21141.294,1,0,3674,367,36,3,12217.455,204.098,44636.2208,8923.839000000002,32418.7658,2.11132870107194,3.6328272843111575,9.95898346852537,9.096481514152565,0.300352638069914,0.03996042684654322,2017
2.1041871084299846,2.1041871084299846,2.441478885688422,2.441478885688422,-0.06190059817757056,-0.06190059817757056,0.34274149228326295,0.34274149228326295,1632,P,1,LC,60871,282,19721214,E,2018-10-31,2018,ADI,ANALOG DEVICES,NA,12,3,20449.779,254.876,10988.54,370.16,12252.604,1968.652,6200.942,6281,USA,3674,83.71,20181031,2018,10,31,6200.942,20449.779,1,0,3674,367,36,3,12252.604,254.876,40447.332599999994,8197.175,28194.7286,1.977886049526501,3.439566509193716,9.925727354566588,9.011544861699262,0.31747628021678,0.04110278728618975,2018
1.3395955526678156,1.3395955526678156,1.3395955526678156,1.3395955526678156,0.04081210536440205,0.04081210536440205,0.04194049103979995,0.04194049103979995,1678,P,1,LU,39490,20204,19640131,E,2017-12-31,2017,APA,APACHE CORP,NA,12,3,21922,2760,7416,380.955,87,668,5752,6769,USA,1311,42.22,20171231,2017,12,31,5752,21922,1,0,1311,131,13,1,87,2760,30589.9201,21835,30502.9201,1.395398234650123,1.3969736707121594,9.995245977775669,9.991269465919661,0.11613351877607789,0.47983310152990266,2017
1.3963624458547397,1.3963624458547397,1.510104362481364,1.510104362481364,0.6769499151654984,0.6769499151654984,0.6084325433469622,0.6084325433469622,1690,P,1,LU,14593,7,19801212,E,2017-09-30,2017,AAPL,APPLE INC,NA,12,3,375319,12451,134047,5126.201,5717,61344,229234,320193,USA,3663,154.12,20170930,2017,9,30,229234,375319,1,0,3663,366,36,3,5717,12451,1031322.09812,369602,1025605.09812,2.747854753209936,2.7748905528649734,12.835531610007385,12.820182029990436,0.2676042820872994,0.05431567743004964,2017
1.6435133465529623,1.6435133465529623,1.6862116847505422,1.6862116847505422,0.795695312168151,0.795695312168151,0.770047140950934,0.770047140950934,1690,P,1,LU,14593,7,19801212,E,2018-09-30,2018,AAPL,APPLE INC,NA,12,3,365725,13313,107147,4754.986,0,70662,265359,320193,USA,3663,225.74,20180930,2018,9,30,265359,365725,1,0,3663,366,36,3,NA,13313,1331968.53964,365725,1331968.53964,3.641994776512407,3.641994776512407,12.809636963846287,12.809636963846287,0.2662883113065696,0.05016977000968499,2018
